Statistical profiling result from fast-v8.log, (15115 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  10991   72.7%          C:\Windows\SYSTEM32\ntdll.dll
   3636   24.1%          C:\Program Files\nodejs\node.exe
      2    0.0%          C:\Windows\System32\KERNELBASE.dll
      1    0.0%          C:\Windows\system32\mswsock.dll

 [JavaScript]:
   ticks  total  nonlib   name
     38    0.3%    7.8%  LazyCompile: *recurse C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\babel-walk\lib\index.js:73:26
     23    0.2%    4.7%  LazyCompile: *callLexerFunction C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1635:30
     18    0.1%    3.7%  LazyCompile: *resolve node:path:158:10
     16    0.1%    3.3%  LazyCompile: *isConstant C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\constantinople\lib\index.js:332:20
     15    0.1%    3.1%  LazyCompile: *walkAST C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-walk\index.js:4:17
     14    0.1%    2.9%  LazyCompile: *advance C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1656:20
     13    0.1%    2.7%  LazyCompile: *readString C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:3019:13
     12    0.1%    2.5%  LazyCompile: *parseChar C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\character-parser\index.js:76:19
     11    0.1%    2.3%  LazyCompile: *parseMaybeUnary C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:12442:18
     10    0.1%    2.1%  LazyCompile: *parseExprAtom C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:12801:16
      8    0.1%    1.6%  LazyCompile: *toConstant C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\constantinople\lib\index.js:9:24
      7    0.0%    1.4%  LazyCompile: *pp$3.parseExprAtom C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\acorn\dist\acorn.js:2223:32
      7    0.0%    1.4%  LazyCompile: *parseExprSubscripts C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:12536:22
      7    0.0%    1.4%  LazyCompile: *next C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:1913:7
      6    0.0%    1.2%  LazyCompile: *readWord1 C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:3253:12
      6    0.0%    1.2%  LazyCompile: *pp$9.nextToken C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\acorn\dist\acorn.js:4391:28
      6    0.0%    1.2%  LazyCompile: *getTokenFromCode C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:2495:19
      6    0.0%    1.2%  LazyCompile: *attribute C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1216:22
      6    0.0%    1.2%  LazyCompile: *Tokenizer C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:1896:14
      5    0.0%    1.0%  RegExp: ^(?:each|for) +([a-zA-Z_$][\w$]*)(?: *, *([a-zA-Z_$][\w$]*))? * in *([^\n]+)
      5    0.0%    1.0%  LazyCompile: *visitBlock C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-code-gen\index.js:420:23
      5    0.0%    1.0%  LazyCompile: *parseMaybeAssign C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:12181:19
      5    0.0%    1.0%  LazyCompile: *get C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\types\lib\index.js:623:19
      5    0.0%    1.0%  LazyCompile: *Parser C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\acorn\dist\acorn.js:470:31
      4    0.0%    0.8%  LazyCompile: *skipSpace C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:2080:12
      4    0.0%    0.8%  LazyCompile: *pp$9.getTokenFromCode C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\acorn\dist\acorn.js:4635:35
      4    0.0%    0.8%  LazyCompile: *indent C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1487:19
      4    0.0%    0.8%  LazyCompile: *id C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:443:15
      4    0.0%    0.8%  LazyCompile: *bufferExpression C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-code-gen\index.js:241:29
      3    0.0%    0.6%  RegExp: ^default
      3    0.0%    0.6%  LazyCompile: *yield C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:806:18
      3    0.0%    0.6%  LazyCompile: *shallowEqual C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\constantinople\lib\index.js:247:22
      3    0.0%    0.6%  LazyCompile: *recurse C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\babel-walk\lib\index.js:110:26
      3    0.0%    0.6%  LazyCompile: *pp$3.parseMaybeAssign C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\acorn\dist\acorn.js:1976:35
      3    0.0%    0.6%  LazyCompile: *parseStatementContent C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:14536:24
      3    0.0%    0.6%  LazyCompile: *parseParenAndDistinguishExpression C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:13257:37
      3    0.0%    0.6%  LazyCompile: *parseExprOp C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:12300:14
      3    0.0%    0.6%  LazyCompile: *initializeScopes C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:4129:19
      3    0.0%    0.6%  LazyCompile: *getTokens C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1704:22
      3    0.0%    0.6%  LazyCompile: *buffer C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-code-gen\index.js:203:19
      3    0.0%    0.6%  LazyCompile: *Identifier C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\with\lib\globals.js:137:15
      3    0.0%    0.6%  Function: ^addWith C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\with\lib\index.js:40:17
      2    0.0%    0.4%  RegExp: ^when +([^:\n]+)
      2    0.0%    0.4%  RegExp: ^doctype *([^\n]*)
      2    0.0%    0.4%  RegExp: ^default\b
      2    0.0%    0.4%  RegExp: ^:([\w\-]+)
      2    0.0%    0.4%  RegExp: ^- *(?:each|for) +([a-zA-Z_$][\w$]*)(?: *, *([a-zA-Z_$][\w$]*))? +in +([^\n]+)
      2    0.0%    0.4%  RegExp: ["&<>]
      2    0.0%    0.4%  LazyCompile: *visitTag C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-code-gen\index.js:613:21
      2    0.0%    0.4%  LazyCompile: *stringify C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\js-stringify\index.js:4:19
      2    0.0%    0.4%  LazyCompile: *readTemplateToken C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:3063:20
      2    0.0%    0.4%  LazyCompile: *pp$9.readTmplToken C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\acorn\dist\acorn.js:4926:32
      2    0.0%    0.4%  LazyCompile: *parseTemplateElement C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:13418:23
      2    0.0%    0.4%  LazyCompile: *parseMember C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:12601:14
      2    0.0%    0.4%  LazyCompile: *parseExpression C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:12139:18
      2    0.0%    0.4%  LazyCompile: *parseBlockOrModuleBlockBody C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:15170:30
      2    0.0%    0.4%  LazyCompile: *nextPart node:fs:2388:31
      2    0.0%    0.4%  LazyCompile: *mixinBlock C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:794:23
      2    0.0%    0.4%  LazyCompile: *match C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:1935:8
      2    0.0%    0.4%  LazyCompile: *join node:path:421:7
